idsql	idgroup	selectionpt	sql	selectionen
2888	5	Quantos casos foram abertos/fechados por dia?	SELECT DATE, 'New Cases' AS DESCRIPTION, COUNT(DATE) FROM (SELECT IDCASE, MIN(ENDDATETIME) AS DATE FROM Log1_excerpt5 WHERE ACTIVITY <> 'Closed' GROUP BY IDCASE ORDER BY IDCASE, MIN(ENDDATETIME) ) NEW_CASES GROUP BY DATE UNION SELECT ENDDATETIME AS DATE, 'Closed Cases' AS DESCRIPTION, COUNT(ENDDATETIME) FROM Log1_excerpt5 WHERE ACTIVITY = 'Closed' GROUP BY ENDDATETIME ORDER BY DATE, DESCRIPTION DESC	How many cases were open/closed per day?
2889	32	Quero agrupar as atividades pelo seu prazo final	SELECT COUNT (activity), enddatetime FROM public.log7_excerpt32 GROUP BY enddatetime;	I want to group activities by their deadline
2890	32	Quero pegar as tuplas em comum que estao localizados nas tabelas de eventos de atividades	SELECT activity , costevent FROM public.log7_excerpt32 INTERSECT SELECT activity, costevent FROM public.log7_excerpt33;	I want to get the common tuples that are located in the activity event tables
2891	3	Quais são os Ids dos eventos finalizados, em ordem de termino?	select idevent from public.log1_excerpt3 WHERE activity='Resolved' ORDER BY enddatetime;	What are the resolved event IDs, in end-time order?
2892	3	Quais atividades possuem ao menos 7 eventos?	select activity from public.log1_excerpt3 group by activity having COUNT(idevent) > 6;	Which activities have at least 7 events?
2893	30	Retorne o nome dos recursos que têm mais atividades pendentes do que sendo realizadas	SELECT t1.resource FROM log6_excerpt30 t1 LEFT JOIN (SELECT resource, COUNT(*) AS pending FROM log6_excerpt30 WHERE activity = 'In Progress' GROUP BY resource) t2 ON t1.resource=t2.resource WHERE NOT(t1.activity = 'In Progress') GROUP BY t1.resource, t2.resource, t2.pending HAVING t2.pending > COUNT(t1.activity) ORDER BY t2.pending DESC	Return the name of resources that have more activities pending than being done
2894	5	Em quantos casos diferentes cada recurso foi utilizado?	SELECT resource, COUNT(DISTINCT idcase) from Log1_excerpt5 GROUP BY resource ORDER BY Count desc	In how many different cases was each resource used?
2895	29	Quantos eventos estão vinculados ao Peter?	select Count(*) from public.log6_excerpt29 Where resource = 'Peter';	How many events are tied to Peter?
2896	29	Quais pessoas estão trabalhando em mais de três problemas?	select Resource from public.log6_excerpt29 group by Resource having count(*) > 3;	Which people are working on more than three events?
2897	30	Informar quais são os id's dos casos dos problemas que estão em espera ou aguardando algo para seguir, também ordenar mediante a maior quantidade de incidentes para um caso.	SELECT idcase FROM log6_excerpt30 WHERE activity IN ('Wait', 'Awaiting Assignment') GROUP BY idcase ORDER BY COUNT(*) DESC	Inform what are the case ids of the problems that are on hold or waiting for something to proceed, also sort by the highest number of incidents for a case.
2898	19	Extraia as datas em que os incidentes foram tratados como finalizados do mais antigo ao mais novo	SELECT startdatetime FROM log4_excerpt19 WHERE activity='Closed' OR activity='Resolved' ORDER BY startdatetime	Extract the dates when incidents were treated as closed from oldest to newest
2899	29	Quantas atividades foram atribuídas para cada recurso, em ordem alfabética do recurso?	SELECT resource, COUNT(activity) FROM log8_excerpt36 WHERE activity = assigned GROUP BY resource	How many activities have been assigned to each resource, in alphabetical order of the resource?
3000	15	Encontrar todos eventos do subprocesso A.	SELECT activity FROM log3_excerpt11 WHERE activity LIKE 'A_%'	Find all events of the A subprocess.
3001	32	Selecione os eventos feitos baseando-se no custo do dito evento. Também exiba o id, a atividade realizada, recurso e custo	SELECT idevent, activity, resource, costevent FROM log2_excerpt6 WHERE costevent BETWEEN 3500000 AND 4000000;	Select the events done based on the cost of said event. Also show the id, the activity done, resource used and cost
3002	37	Quantas etapas foram necessárias para a aprovação de um pedido com relação ao custo total desse pedido?	SELECT idcase, min(costevent), count(idcase) from Log8_excerpt37 where activity like '%Declaration%' group by idcase, costevent having min(costevent) <> 0	How many steps did it take to approve an order relative to the total cost of that order?
3003	29	Quais recursos conseguiram atingir o estado "closed" em alguma atividade?	SELECT DISTINCT resource FROM log6excerpt29 HAVING activity = closed;	Which resources mananged to reach "closed" status on some activity?
3004	32	Selecione as atividades que terminaram no conjunto de datas especificadas usando a coluna enddatetime como referência	SELECT activity, enddatetime FROM log2_excerpt6 where DATE(enddatetime) IN('2020-03-17')	Select the activities that ended on the specified dates using the enddatetime column as a reference
3005	15	Encontrar o id do evento, a atividade e a data de término do evento para todos eventos parcialmente submetidos do supbprocesso A, ou criados do subprocesso O, ordenando pela data de término.	SELECT idevent, activity, enddatetime FROM log3_excerpt12 WHERE activity LIKE 'A_PARTLYSUBMITTED-COMPLETE' OR activity LIKE 'O_CREATED-COMPLETE' ORDER BY enddatetime	Find the event id, activity type and end date for all events that are of the A subprocess and are Partly submitted, or are from the O subprocess and are set as created. Order the results by end date.
3006	33	Selecione todas as linhas de uma dada coluna se qualquer evento possuir um custo acima de uma dado limite	SELECT activity, resource, costevent FROM log2_excerpt6 WHERE costevent = ANY (SELECT costevent FROM log2_excerpt6 WHERE costevent > 10)	Select all the rows on the table if any event has a cost above a certain threshold
3007	33	Selecione todas as linhas onde o custo do evento não é nulo	SELECT * FROM log2_excerpt6 WHERE costevent IS NOT NULL	Select all rows where the cost of the event is not null
3008	37	Quanto tempo se passou desde o pedido de reembolso até a aprovação dele?(no caso de pedidos que foram aprovados)	SELECT end_trip.idcase, (max(payment.enddatetime) - min(end_trip.enddatetime)) as delay from Log8_excerpt37 end_trip join Log8_excerpt37 payment on end_trip.idcase = payment.idcase where end_trip.activity LIKE '%Declaration SUBMITTED%' and payment.activity LIKE '%Handled%' and payment.costevent <> 0 group by end_trip.idcase	How long has it been from the refund request to its approval? (For the cases that have been approved)
3009	7	Conte todas as atividades que tem o valor 'Decisão'	SELECT resource, count(*) FROM log2_excerpt6 WHERE activity='Decisão' GROUP BY resource	Count all the activities that have the value 'Decisão'
3010	19	A quantidade de pessoas trabalharam nas últimas fases dos incidente comparado à quantidade que começou (o resultado deve mostrar primeiro a contagem sumarizada das fases finais, e então das fases iniciais).	SELECT SUM(early.ct) AS sum_column FROM (SELECT COUNT(resource) AS ct FROM log4_excerpt19 WHERE activity IN ('In Progress','Awaiting Assignment') GROUP BY activity) early UNION SELECT SUM(later.ct) AS sum_column FROM (SELECT COUNT(resource) AS ct FROM log4_excerpt19 WHERE activity IN ('Resolved','Closed') GROUP BY activity) later;	How many people worked, respectively, in the early and late stages of incidents?
3011	7	Conte as ocorrências de cada idgroup agrupando por dado conjuntos de valores para idgroup	SELECT idgroup, count(*) FROM log2_excerpt6 WHERE idgroup LIKE (7, 6, 8) GROUP BY idgroup	Count the occurrences of each idgroup grouping by a given set of idgroup values
3012	4	Quando foram adicionadas novas atividades por recursos terminados em '5'?	SELECT enddatetime FROM log1excerpt4 WHERE resource LIKE '%5' AND activity = 'new'	When were new activities added by resources ending in '5'?
3013	20	Selecione a soma do costevent, agrupando por activity e resource	select activity, resource, Sum(costevent) from log4_excerpt20 group by activity, resource	Select the sum of the costevent, grouping by activity and resource
3014	20	Selecione o numero de ocorrências dado um conjunto de activities	select activity, count(activity) from log4_excerpt20 where activity in ('Resolved', 'In Call') group by activity	Select the number of occurrences of a given set of activities
3015	22	Agrupe as atividades que tem o seu número de ocorrências maior do que um dado valor	select activity, count(activity) from log5_excerpt21 group by activity having count(activity) > 3	Group the number of occurrences of all activities that occurred more than a certain threshold
3016	4	Qual atividade e seu recurso foi a última até agora no log?	SELECT resource, activity FROM log1excerpt4 WHERE enddatetime = MAX(enddatetime)	Which activity and its resource was the last one on the log so far?
3017	18	Encontrar os eventos em aberto, assim como o responsável pelo evento, que tenham começado antes ou depois dos eventos que já estão concluídos, e que estejam em progresso.	SELECT T1.idevent, T2.idevent AS T2event, T1.activity, T1.resource FROM log4_excerpt16 AS T1 INNER JOIN log5_excerpt22 AS T2 ON T1.startdatetime <= T2.startdatetime WHERE T1.startdatetime <= T2.startdatetime AND T2.activity LIKE 'Closed' ORDER BY T1.idevent	Find in resource, event id and activity of in progress events that have start date previous to the events that are already closed.
3018	18	Encontrar o número de eventos de cada recurso que não esteja fechado.	SELECT COUNT(idevent), resource FROM log4_excerpt16 WHERE activity not LIKE 'Closed' GROUP BY resource	Find the number of events per resouce that are not closed.
